r_mean,g_mean,b_mean,r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,b_0,b_1,b_2,b_3,b_4,b_5,b_6,b_7,b_8,grad_mean,grad_std,label
174.3405,132.8529,100.1441,189.7590,187.2275,175.0604,179.5665,180.6749,193.0445,163.0492,142.1992,159.1845,155.2366,145.6751,129.5554,145.6838,146.8589,148.0427,125.5070,86.7064,113.4139,113.8152,113.1581,91.1537,120.1957,118.5195,109.1221,86.8384,62.2304,86.8867,0.066964,0.073083,0
100.1830,108.7316,114.8077,99.7669,115.5286,116.5548,91.1137,120.7577,103.3136,79.3532,102.6837,73.2501,115.2959,121.4124,120.3829,109.0401,125.1457,108.6515,91.7363,112.5338,75.3131,130.0618,130.5176,123.4948,124.0937,127.4795,113.3053,101.0648,115.8138,68.9421,0.059894,0.069569,0
175.0046,115.2701,76.6166,156.3720,176.6340,176.2966,189.0757,187.7747,157.2179,161.5213,166.1880,203.4115,95.9743,112.8313,131.8033,124.9035,105.9928,103.1517,109.6189,93.6883,159.1637,73.5400,91.7091,115.0389,87.5892,57.1923,62.9141,65.7470,33.7235,103.0651,0.040844,0.054101,0
96.9147,74.8283,43.3881,171.7995,135.1911,45.6048,75.2954,53.5141,27.3665,63.0918,136.7268,165.3169,137.2873,105.1381,44.7584,70.4862,44.8391,34.5591,68.1662,74.6378,95.7070,112.7374,73.7978,21.0886,51.2052,14.2416,10.3054,56.6675,17.7736,35.6617,0.047363,0.057768,0
105.7661,93.9286,57.8241,70.6721,125.2171,90.8295,101.5707,140.5891,100.0136,84.7061,121.9812,115.5112,67.4194,113.0112,89.1800,82.3096,111.1479,89.8836,77.9993,111.1881,102.4976,39.3830,79.3048,48.3181,55.6870,69.6681,49.3231,50.8890,74.4326,53.0445,0.096203,0.083724,0
190.8023,161.4484,127.2367,217.6563,193.0715,210.3358,203.7459,209.8000,189.6177,170.4010,159.0887,163.7627,189.0604,157.2262,173.8332,177.7386,179.6247,153.9939,149.0305,135.6116,137.3360,152.6526,115.0082,132.8192,144.0243,144.5336,116.0829,122.5857,109.4027,108.5215,0.063803,0.075625,0
158.7896,123.8258,103.8000,198.5965,185.8743,150.1935,186.7454,187.2139,187.3112,157.4157,105.8419,71.9544,161.0163,152.5129,118.6095,144.4497,144.8299,130.5683,124.6922,83.2947,56.4443,142.0921,131.6631,99.2476,121.6389,114.5781,94.9715,110.2092,73.9285,47.9269,0.057519,0.065579,0
155.5121,96.2854,52.3974,151.3125,148.2093,142.9569,147.1865,160.3755,157.5607,158.3212,170.6207,162.9357,103.3598,87.8974,89.4574,85.4324,87.7107,85.3617,105.2292,112.4488,109.7405,68.2712,43.6898,57.7640,36.4971,33.3524,38.8955,63.5106,57.7676,71.9762,0.075744,0.059563,0
144.6861,120.3513,88.9101,175.2599,186.5731,151.4924,175.6354,208.2526,193.3185,61.8545,88.6945,60.8099,152.9430,154.0798,128.5695,145.7511,153.3896,153.9132,58.1907,78.1976,58.0715,123.6678,103.2533,105.4150,115.4324,87.0972,87.1040,54.3548,67.9176,56.3052,0.046592,0.066108,0
147.1292,127.1882,110.5474,231.8952,126.1837,113.6917,188.8708,110.8432,123.3363,161.8505,135.8736,134.0859,221.0626,127.2392,97.3094,153.7727,82.2221,102.2784,139.8268,103.9331,120.0797,212.5640,107.7170,84.0857,132.2565,62.5077,83.5107,125.2468,85.8517,104.4597,0.038825,0.048161,0
177.0606,135.0927,68.4676,184.3443,196.4863,186.9089,194.6155,173.2263,167.2305,191.0211,187.4561,113.7067,137.1055,130.9803,132.6124,150.3967,124.3803,134.6619,146.6056,137.4648,121.9957,78.4263,31.9076,77.4194,87.6528,49.2987,84.9537,86.0258,51.6025,69.5082,0.065928,0.066433,0
